2021-09-05,18
2021-09-12,0
2021-09-19,42
2021-09-26,20
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,11
2021-11-07,0
2021-11-14,15
2021-11-21,17
2021-11-28,31
2021-12-05,30
2021-12-12,22
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,47
2022-01-23,21
2022-01-30,0
2022-02-06,0
2022-02-13,37
2022-02-20,10
2022-02-27,36
2022-03-06,32
2022-03-13,0
2022-03-20,31
2022-03-27,31
2022-04-03,37
2022-04-10,37
2022-04-17,27
2022-04-24,31
2022-05-01,31
2022-05-08,16
2022-05-15,0
2022-05-22,51
2022-05-29,43
2022-06-05,38
2022-06-12,43
2022-06-19,49
2022-06-26,35
2022-07-03,53
2022-07-10,59
2022-07-17,64
2022-07-24,47
2022-07-31,16
2022-08-07,56
2022-08-14,51
2022-08-21,43
2022-08-28,71
2022-09-04,45
2022-09-11,65
2022-09-18,57
2022-09-25,87
2022-10-02,37
2022-10-09,70
2022-10-16,74
2022-10-23,53
2022-10-30,52
2022-11-06,47
2022-11-13,53
2022-11-20,42
2022-11-27,39
2022-12-04,19
2022-12-11,29
2022-12-18,23
2022-12-25,24
2023-01-01,33
2023-01-08,23
2023-01-15,31
2023-01-22,51
2023-01-29,0
2023-02-05,82
2023-02-12,64
2023-02-19,60
2023-02-26,34
2023-03-05,36
2023-03-12,54
2023-03-19,50
2023-03-26,48
2023-04-02,100
2023-04-09,34
2023-04-16,52
2023-04-23,34
2023-04-30,45
2023-05-07,62
2023-05-14,50
2023-05-21,41
2023-05-28,46
2023-06-04,10
2023-06-11,37
2023-06-18,50
2023-06-25,40
2023-07-02,23
2023-07-09,39
2023-07-16,49
2023-07-23,45
2023-07-30,94
2023-08-06,40
2023-08-13,29
2023-08-20,58
2023-08-27,25
2023-09-03,66
2023-09-10,61
2023-09-17,24
2023-09-24,43
2023-10-01,0
2023-10-08,44
2023-10-15,44
2023-10-22,29
